Designator,Mid X,Mid Y,Rotation,Layer
C1,127.9,-100.0,180.0,top
C2,168.96,-81.89,180.0,top
C3,165.0,-113.0,270.0,top
C4,167.7,-98.87,270.0,top
C5,126.86,-90.99,270.0,top
D1,141.53,-88.405,270.0,top
D2,135.737818,-86.4,180.0,top
D3,137.43,-106.25,180.0,top
J1,160.06,-90.52,270.0,top
J2,175.0,-81.94,180.0,top
J3,175.0,-91.0,180.0,top
J4,175.0,-98.79,0.0,top
J5,175.0,-107.9,0.0,top
J6,135.54,-115.0,270.0,top
J7,126.0,-81.08,180.0,top
Q1,126.0,-108.25,0.0,top
R1,141.44,-82.935,90.0,top
R2,136.0,-80.76,180.0,top
R3,133.86,-75.2,0.0,top
R4,133.46,-99.97,0.0,top
R5,166.455,-88.0,0.0,top
R6,166.46,-93.1,0.0,top
SW1,149.62,-117.0,180.0,top
U1,161.14,-105.21,90.0,top
U2,149.95,-81.465,0.0,top
